index,keyword,view,menu,checkout,order,keyword_lower,item_id,cuisine_tag,item_name,item_price,merchant_id,item_name_lower
4397,loaded nachos,39857,12919,5869,262,loaded nachos,391,Mexican,Loaded Nachos,7.75,f3b8d,loaded nachos
4405,grilled kofta skewers,44777,16728,4189,208,grilled kofta skewers,392,Mediterranean,Grilled Kofta Skewers,10.75,1f5b7,grilled kofta skewers
4413,fresh lemon mint cooler,45878,15903,4450,303,fresh lemon mint cooler,393,Beverage,Fresh Lemon Mint Cooler,3.75,b0a4f,fresh lemon mint cooler
4421,chicken tinga tacos,48270,12828,4112,267,chicken tinga tacos,394,Mexican,Chicken Tinga Tacos,7.25,e8b3c,chicken tinga tacos
4429,loaded chili nachos,47090,18783,6848,484,loaded chili nachos,395,Tex-Mex,Loaded Chili Nachos,7.5,6d0f7,loaded chili nachos
4437,house brewed coffee,24009,3663,1726,91,house brewed coffee,396,Beverage,House Brewed Coffee,2.5,e3b2d,house brewed coffee
4445,crab mac & cheese,22191,5290,1623,78,crab mac & cheese,397,Seafood,Crab Mac & Cheese,11.25,5f1d3,crab mac & cheese
4453,steak sandwich,25523,8086,2677,243,steak sandwich,398,Steak,Steak Sandwich,9.5,4c9a2,steak sandwich
4461,black garlic ramen,31008,10114,3253,203,black garlic ramen,399,Japanese,Black Garlic Ramen,10.5,2f7b5,black garlic ramen
4469,peppercorn sirloin,27024,9522,3739,233,peppercorn sirloin,400,Steak,Peppercorn Sirloin,15.25,a1b5e,peppercorn sirloin
